##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Montgomery,Kate",*,34,8-14,0-1,2-4,3-3,6,2,1,1,1,1,18,Dickinson,Dickinson_Catholic_11-8-2022
12,"Marion,Clair",*,33,3-11,1-3,1-1,1-5,6,3,3,4,0,4,8,Dickinson,Dickinson_Catholic_11-8-2022
04,"Blackman,Caitlin",*,34,3-11,1-4,0-0,0-2,2,2,1,1,0,2,7,Dickinson,Dickinson_Catholic_11-8-2022
03,"Kolb,Mia",*,30,2-9,0-1,0-0,2-1,3,4,3,3,0,1,4,Dickinson,Dickinson_Catholic_11-8-2022
15,"Neigel,Gina",*,10,2-2,0-0,0-1,0-0,0,3,0,2,0,2,4,Dickinson,Dickinson_Catholic_11-8-2022
05,"Hollenshead,Lindsey",,29,1-4,0-1,2-4,3-5,8,4,2,2,1,1,4,Dickinson,Dickinson_Catholic_11-8-2022
21,"Weinstein,Jenna",,18,1-4,0-0,0-0,0-2,2,1,0,1,1,0,2,Dickinson,Dickinson_Catholic_11-8-2022
40,"Chapman,Mia",,5,0-2,0-0,0-0,0-0,0,1,0,0,0,0,0,Dickinson,Dickinson_Catholic_11-8-2022
01,"Dubin,Leah",,4,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,Dickinson,Dickinson_Catholic_11-8-2022
34,"Ali-Goukoye,Indatou",,2,0-1,0-0,0-0,1-0,1,1,1,0,0,0,0,Dickinson,Dickinson_Catholic_11-8-2022
11,"Zerbe,Victoria",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Dickinson,Dickinson_Catholic_11-8-2022
25,"Doherty,Erin",*,25,8-15,0-1,0-0,1-6,7,2,0,5,0,2,16,Catholic,Dickinson_Catholic_11-8-2022
22,"Mulvaney,Carly",*,31,3-6,2-4,5-6,3-3,6,1,0,3,0,0,13,Catholic,Dickinson_Catholic_11-8-2022
01,"Bussanich,Rachel",*,36,2-9,0-0,6-7,0-2,2,1,0,4,0,3,10,Catholic,Dickinson_Catholic_11-8-2022
10,"Baldo,Amelia",*,27,2-7,0-1,0-0,1-4,5,1,2,1,0,2,4,Catholic,Dickinson_Catholic_11-8-2022
33,"Douglas,Keegan",*,27,1-6,0-0,1-2,3-4,7,2,1,1,0,1,3,Catholic,Dickinson_Catholic_11-8-2022
04,"Thompson,Erin",,18,2-3,0-0,2-2,0-3,3,0,0,1,0,1,6,Catholic,Dickinson_Catholic_11-8-2022
12,"McCarter,Sammie",,15,1-3,1-3,0-0,1-4,5,1,1,1,0,0,3,Catholic,Dickinson_Catholic_11-8-2022
40,"Greenhut,Kathryn",,11,0-2,0-0,0-0,0-1,1,1,0,1,0,1,0,Catholic,Dickinson_Catholic_11-8-2022
15,"Aromando,Molly",,6,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Catholic,Dickinson_Catholic_11-8-2022
05,"White,Sarah",,4,0-1,0-0,0-0,0-0,0,0,1,1,0,0,0,Catholic,Dickinson_Catholic_11-8-2022
