##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
00,"Charles,Alexa",*,35,10-25,0-1,3-3,8-9,17,1,4,1,0,3,23,Hunter,Hunter_Lycoming_12-30-2023
01,"Cosio,Erin",*,33,4-16,3-10,0-0,3-4,7,2,3,3,0,2,11,Hunter,Hunter_Lycoming_12-30-2023
02,"Burke,Katie",*,33,3-8,3-7,0-0,0-1,1,2,1,3,0,1,9,Hunter,Hunter_Lycoming_12-30-2023
14,"Yode,Eliah",*,27,1-4,0-0,3-7,3-2,5,3,0,1,1,1,5,Hunter,Hunter_Lycoming_12-30-2023
21,"Hennessy,Nina",*,32,1-7,1-7,0-0,0-1,1,1,2,1,0,0,3,Hunter,Hunter_Lycoming_12-30-2023
15,"DeRuy,Kennedy",,16,1-6,1-4,0-0,1-2,3,3,1,2,0,0,3,Hunter,Hunter_Lycoming_12-30-2023
22,"Yokum,Dorthea",,8,1-1,0-0,1-2,0-1,1,1,0,1,0,0,3,Hunter,Hunter_Lycoming_12-30-2023
03,"Murray,Makkedah",,14,1-5,0-3,0-0,2-1,3,1,1,0,0,0,2,Hunter,Hunter_Lycoming_12-30-2023
10,"Elwan,Hagar",,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Hunter,Hunter_Lycoming_12-30-2023
12,"Dufner,Meghan",*,29,7-9,1-3,3-4,1-4,5,1,2,3,0,1,18,Lycoming,Hunter_Lycoming_12-30-2023
21,"Yoh,Ashley",*,31,5-10,0-0,3-4,2-9,11,0,2,3,0,1,13,Lycoming,Hunter_Lycoming_12-30-2023
22,"Lockard,Emily",*,27,3-8,0-1,3-4,2-5,7,2,2,3,1,2,9,Lycoming,Hunter_Lycoming_12-30-2023
25,"Goldenziel,Alicia",*,27,1-6,0-0,0-0,1-4,5,1,0,3,1,0,2,Lycoming,Hunter_Lycoming_12-30-2023
10,"Wetzel,Mya",*,21,1-5,0-4,0-1,0-1,1,1,3,0,0,2,2,Lycoming,Hunter_Lycoming_12-30-2023
02,"Abdo,Kami",,21,7-8,2-2,0-0,0-4,4,1,2,0,0,2,16,Lycoming,Hunter_Lycoming_12-30-2023
20,"Pumputis,Jillian",,12,2-3,0-0,0-0,1-2,3,1,1,0,1,0,4,Lycoming,Hunter_Lycoming_12-30-2023
14,"McMurtrie,Ann-Marie",,7,1-5,0-0,2-2,0-1,1,0,0,0,0,0,4,Lycoming,Hunter_Lycoming_12-30-2023
04,"Orich,Maddie",,11,1-2,1-2,0-0,0-0,0,1,2,2,0,0,3,Lycoming,Hunter_Lycoming_12-30-2023
15,"Hartman,Makenna",,13,1-2,0-0,0-0,1-3,4,3,4,0,0,1,2,Lycoming,Hunter_Lycoming_12-30-2023
32,"Stone,Sydnie",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Hunter_Lycoming_12-30-2023
