##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Saxton,Rachel",*,24,3-6,0-1,4-4,0-2,2,0,1,3,0,2,10,Muhlenberg,Muhlenberg_Moravian_1-4-2025
13,"Connolly,Ava",*,25,3-7,2-3,0-0,1-2,3,1,0,1,0,2,8,Muhlenberg,Muhlenberg_Moravian_1-4-2025
33,"Costigan,Lyndsey",*,19,3-7,1-4,1-2,1-3,4,2,3,3,0,2,8,Muhlenberg,Muhlenberg_Moravian_1-4-2025
30,"Unger,Emily",*,23,2-2,2-2,1-2,2-4,6,0,1,2,0,0,7,Muhlenberg,Muhlenberg_Moravian_1-4-2025
03,"Winters,Megan",*,20,1-4,0-0,0-0,0-3,3,0,1,0,0,1,2,Muhlenberg,Muhlenberg_Moravian_1-4-2025
04,"McGrath,Katie",,17,3-11,1-4,2-3,1-2,3,0,1,1,1,1,9,Muhlenberg,Muhlenberg_Moravian_1-4-2025
15,"Dawson,Veronica",,15,2-6,0-2,5-7,2-1,3,1,1,0,1,2,9,Muhlenberg,Muhlenberg_Moravian_1-4-2025
25,"Tucker,Faith",,16,3-4,1-2,1-2,1-1,2,0,0,0,0,0,8,Muhlenberg,Muhlenberg_Moravian_1-4-2025
44,"Parker,Ella",,11,1-2,0-0,0-0,1-0,1,0,0,0,0,0,2,Muhlenberg,Muhlenberg_Moravian_1-4-2025
20,"Punter,Erin",,17,0-3,0-0,0-2,1-4,5,1,1,2,0,0,0,Muhlenberg,Muhlenberg_Moravian_1-4-2025
21,"D'Addieco,Caitlyn",,13,0-4,0-0,0-0,2-1,3,1,1,0,0,0,0,Muhlenberg,Muhlenberg_Moravian_1-4-2025
24,"Lustig,Lizzie",*,33,6-11,0-1,3-4,5-2,7,1,1,1,0,1,15,Moravian,Muhlenberg_Moravian_1-4-2025
01,"Osorio,Sam",*,25,4-8,0-0,0-2,3-1,4,3,2,4,1,1,8,Moravian,Muhlenberg_Moravian_1-4-2025
10,"Guarente,Brielle",*,23,3-5,0-0,0-0,1-4,5,4,2,3,0,1,6,Moravian,Muhlenberg_Moravian_1-4-2025
22,"Vassallo,Juliana",*,25,1-11,1-9,0-0,0-8,8,1,1,1,1,0,3,Moravian,Muhlenberg_Moravian_1-4-2025
12,"Anderson,Mikayla",*,17,0-0,0-0,0-0,1-2,3,2,1,1,0,0,0,Moravian,Muhlenberg_Moravian_1-4-2025
00,"Altmire,Emma",,10,3-9,3-9,0-0,1-0,1,1,0,0,0,0,9,Moravian,Muhlenberg_Moravian_1-4-2025
11,"Squizziato,Sofia",,8,1-2,1-2,0-0,1-2,3,3,0,2,0,0,3,Moravian,Muhlenberg_Moravian_1-4-2025
04,"Cartagena,Jayda",,16,0-7,0-5,2-2,1-2,3,2,1,2,0,2,2,Moravian,Muhlenberg_Moravian_1-4-2025
25,"Lew,Bellisima",,2,0-0,0-0,1-2,1-1,2,0,0,0,0,0,1,Moravian,Muhlenberg_Moravian_1-4-2025
05,"Wallbillich,Ellie",,23,0-6,0-3,0-0,3-1,4,0,2,1,0,1,0,Moravian,Muhlenberg_Moravian_1-4-2025
20,"Herbert,Lanie",,13,0-0,0-0,0-2,1-1,2,0,2,3,1,0,0,Moravian,Muhlenberg_Moravian_1-4-2025
14,"Pukszyn,Emma",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian,Muhlenberg_Moravian_1-4-2025
23,"Cabana,Kylie",,2,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Moravian,Muhlenberg_Moravian_1-4-2025
