##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Kaitlyn Lynch,*,33,4-6,2-2,4-4,1-1,2,4,2,5,0,0,14,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
21,Julia Roth,*,27,6-9,0-0,1-4,5-10,15,5,1,3,0,1,13,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
44,Olivia Brandt,*,31,4-11,0-0,1-2,0-2,2,1,2,1,2,0,9,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
00,Julia Pinckert,*,30,2-8,1-4,2-2,1-1,2,3,4,5,0,1,7,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
03,Kenzie Selvaggi,*,34,2-8,1-3,0-0,1-1,2,0,2,4,0,1,5,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
14,Isabella Schwabe,,15,1-5,0-0,1-2,1-1,2,1,0,0,0,0,3,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
31,Grace Meehan,,3,0-1,0-1,1-2,0-1,1,0,0,1,0,0,1,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
05,Lauren Klein,,12,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
13,Kate Hildebrandt,,5,0-0,0-0,0-0,0-2,2,2,0,0,0,0,0,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
11,Madison Miller,,4,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
12,Carly George,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
33,Bri Dorsey,,3,0-1,0-0,0-0,1-0,1,1,0,0,0,0,0,Susquehanna,Susquehanna_Elizabethtown_1-28-2023
34,DaniRae Renno,*,26,5-12,0-0,4-4,2-4,6,3,2,1,1,1,14,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
25,Summer McNulty,*,27,3-10,1-3,6-8,1-1,2,1,2,0,0,0,13,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
30,Jessica King,*,28,3-7,0-0,4-6,3-8,11,1,2,1,1,4,10,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
04,Cyleigh Wilson,*,20,3-4,3-4,0-0,0-2,2,1,2,2,0,1,9,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
03,Lindsay Boyd,*,21,2-4,1-2,1-2,0-0,0,2,1,1,0,2,6,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
14,Kaeli Romanowski,,23,5-7,0-0,2-2,4-2,6,4,3,1,0,4,12,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
02,Makenna Mummert,,14,3-5,0-0,0-0,0-0,0,0,0,1,0,1,6,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
31,Allyia Kennedy,,9,2-3,0-0,1-2,1-1,2,2,0,0,0,2,5,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
35,Cass Peris,,16,2-4,0-0,0-0,1-3,4,0,2,0,0,0,4,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
13,Taylor Huyck,,8,0-3,0-1,0-0,0-0,0,0,1,0,0,1,0,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
33,Clare Marchese,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
05,Megan Desmet,,2,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
12,Georgia Panopoulos,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
24,Ellie Fasick,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Susquehanna_Elizabethtown_1-28-2023
