##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Doherty,Erin",*,30,3-14,1-2,8-10,1-3,4,0,4,1,0,3,15,Catholic,Catholic_Eastern_11-30-2022
01,"Bussanich,Rachel",*,40,4-13,0-0,4-6,4-9,13,1,0,3,0,3,12,Catholic,Catholic_Eastern_11-30-2022
22,"Mulvaney,Carly",*,29,4-8,1-4,1-2,1-2,3,3,1,0,0,1,10,Catholic,Catholic_Eastern_11-30-2022
33,"Douglas,Keegan",*,29,2-5,0-0,3-4,1-0,1,3,2,2,0,2,7,Catholic,Catholic_Eastern_11-30-2022
13,"Scoblick,Anna",*,15,2-2,0-0,0-0,0-2,2,3,1,2,0,0,4,Catholic,Catholic_Eastern_11-30-2022
12,"McCarter,Sammie",,24,1-3,1-1,2-2,1-1,2,1,0,0,1,1,5,Catholic,Catholic_Eastern_11-30-2022
20,"Beirne,Kaleigh",,6,0-2,0-0,2-2,0-1,1,0,0,0,0,0,2,Catholic,Catholic_Eastern_11-30-2022
10,"Baldo,Amelia",,17,0-3,0-1,1-2,2-0,2,1,0,1,0,1,1,Catholic,Catholic_Eastern_11-30-2022
05,"White,Sarah",,6,0-3,0-1,0-0,1-1,2,0,0,1,0,0,0,Catholic,Catholic_Eastern_11-30-2022
15,"Aromando,Molly",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Catholic_Eastern_11-30-2022
44,"Woodson,Taryn",*,29,7-11,0-0,3-6,5-6,11,4,1,1,3,1,17,Eastern,Catholic_Eastern_11-30-2022
04,"Worsley-Wooten,Kayla",*,32,4-12,3-10,0-0,1-3,4,2,1,0,0,0,11,Eastern,Catholic_Eastern_11-30-2022
23,"Bess,Wynter",*,29,2-7,0-3,4-6,0-3,3,1,1,4,0,3,8,Eastern,Catholic_Eastern_11-30-2022
05,"Johnson,Jeriyah",*,24,1-9,0-3,0-0,2-3,5,5,1,6,0,2,2,Eastern,Catholic_Eastern_11-30-2022
22,"Johnson,Ebony",*,24,1-1,0-0,0-0,0-1,1,3,0,2,1,0,2,Eastern,Catholic_Eastern_11-30-2022
02,"Jefferson,Kayla",,20,1-1,1-1,0-0,0-0,0,1,0,2,0,0,3,Eastern,Catholic_Eastern_11-30-2022
24,"Upton,Trinity",,22,0-3,0-0,1-2,0-6,6,4,2,3,0,1,1,Eastern,Catholic_Eastern_11-30-2022
11,"Jarvis,Tyerra",,10,0-2,0-0,0-0,1-2,3,0,0,1,0,0,0,Eastern,Catholic_Eastern_11-30-2022
12,"Holland,Jakaylah",,10,0-1,0-1,0-0,0-2,2,0,1,3,0,0,0,Eastern,Catholic_Eastern_11-30-2022
