##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Summer McNulty,*,31,6-14,2-5,7-11,4-2,6,0,1,2,0,1,21,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
34,DaniRae Renno,*,31,3-4,0-0,5-7,2-3,5,1,0,1,2,0,11,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
03,Lindsay Boyd,*,25,3-7,2-5,3-6,2-0,2,2,3,2,0,3,11,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
30,Jessica King,*,24,4-9,0-0,2-3,2-3,5,1,1,3,1,1,10,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
04,Cyleigh Wilson,*,20,1-5,1-5,0-0,0-1,1,2,0,0,0,0,3,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
14,Kaeli Romanowski,,20,2-6,0-1,0-0,1-1,2,2,3,3,1,4,4,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
35,Cass Peris,,20,2-4,0-0,0-0,5-5,10,1,1,1,0,0,4,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
13,Taylor Huyck,,11,0-1,0-0,2-2,0-1,1,1,0,0,0,1,2,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
02,Makenna Mummert,,10,1-5,0-0,0-0,1-0,1,2,3,2,1,0,2,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
33,Clare Marchese,,4,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
24,Ellie Fasick,,3,0-1,0-0,0-0,1-0,1,1,0,1,0,0,0,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
31,Allyia Kennedy,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Elizabethtown_Susquehanna_12-3-2022
30,Kaitlyn Lynch,*,32,9-16,1-1,3-4,4-5,9,4,3,4,1,3,22,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
00,Julia Pinckert,*,39,4-12,2-5,1-2,2-2,4,3,4,4,1,2,11,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
03,Kenzie Selvaggi,*,37,2-10,2-6,1-2,0-2,2,1,2,3,0,3,7,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
14,Isabella Schwabe,*,22,3-4,0-0,1-2,1-0,1,5,0,3,4,1,7,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
25,Alicia Goldenziel,*,30,0-3,0-0,0-0,3-3,6,4,2,2,0,0,0,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
12,Carly George,,12,1-2,0-0,0-0,1-1,2,3,0,0,0,0,2,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
02,Vanessa Sabol,,7,1-1,0-0,0-0,1-2,3,1,0,0,0,0,2,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
05,Lauren Klein,,5,1-2,0-0,0-0,0-0,0,1,0,0,0,0,2,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
33,Bri Dorsey,,9,0-2,0-0,0-0,0-1,1,1,0,1,0,0,0,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
31,Grace Meehan,,7,0-1,0-1,0-0,0-1,1,0,1,0,0,0,0,Susquehanna,Elizabethtown_Susquehanna_12-3-2022
